model,dataset,pred_type,ece
baseline,desed_validation,student,0.017583776195512792
baseline,maestro_training,student,0.035094737620156496
baseline,maestro_validation,student,0.026751654911653978
cmt_normal,desed_validation,student,0.009593802054995729
cmt_normal,maestro_training,student,0.03506128770626221
cmt_normal,maestro_validation,student,0.025864904732788137
cmt_neg,desed_validation,student,0.02211302281156829
cmt_neg,maestro_training,student,0.0361582235359984
cmt_neg,maestro_validation,student,0.027109290240714224
