dataset,baseline,cmt_neg,cmt_normal
desed_validation,0.017583776195512792,0.02211302281156829,0.009593802054995729
maestro_training,0.035094737620156496,0.0361582235359984,0.03506128770626221
maestro_validation,0.026751654911653978,0.027109290240714224,0.025864904732788137
